Summary stop stats,,,,,,,,,,,,,,
Selected days,Selected days,01/04/2026 - 30/04/2026,,,,,,,,,,,,
Mean value,Mean value,Average,,,,,,,,,,,,
Columns,Columns,Some are hidden,,,,,,,,,,,,
,,,,,,,,,,,,,,
Stop,Stop,Planned stopping,Planned stopping,IN,IN,OUT,OUT,Frequency of passengers,Frequency of passengers,Occupancy,Occupancy,Occupancy,Occupancy,Delay
Stop,Stop,Planned stopping,Planned stopping,IN,IN,OUT,OUT,Frequency of passengers,Frequency of passengers,Arrival,Arrival,Departure,Departure,Delay
Ident.,Name,APC,All,Σ,Ø,Σ,Ø,Σ,Ø,Σ,Ø,Σ,Ø,Ø
263,Jégcsarnok,473,2774,1363,2.9,0,0,1363,2.9,0,,1363,2.9,00:00:15
014,DE Böszörményi úti Campus,1168,5687,1859,1.6,1478,1.3,3337,2.9,10303,8.8,10622,9.1,00:02:56
620,Inter Tan-Ker Zrt.,733,2477,1028,1.4,1065,1.5,2093,2.9,1617,4.3,1578,3.2,00:02:43
266,Jókai utca,961,4191,977,1.0,1765,1.8,2742,2.9,9830,10.2,9025,9.4,00:02:47
457,Pál utca,60,410,25,0.4,146,2.4,171,2.9,333,5.5,212,3.5,00:02:25
314,Kishegyesi út,1455,6464,2129,1.5,2014,1.4,4143,2.8,14572,10.0,14658,10.1,00:02:40
242,Holló László sétány,1553,7731,1344,0.9,3015,1.9,4359,2.8,7971,5.1,6206,4.0,00:03:11
107,Csemete utca,180,910,178,1.0,327,1.8,505,2.8,2672,14.8,2510,13.9,00:02:51
260,István út,882,3999,161,0.2,2310,2.6,2471,2.8,5976,6.8,3794,4.3,00:03:36
133,Derék utca - Jégcsarnok,1080,4957,469,0.4,2549,2.4,3018,2.8,8763,8.1,6608,6.1,00:03:35
070,Bercsényi utca,867,4638,1527,1.8,892,1.0,2419,2.8,12641,14.6,13275,15.3,00:02:13
072,Berek utca,867,4638,1466,1.7,953,1.1,2419,2.8,13275,15.3,13774,15.9,00:02:16
170,Fancsika,246,711,32,0.1,651,2.6,683,2.8,1856,7.5,1206,4.9,00:00:54
021,Alsójózsai utca,416,2817,493,1.2,653,1.6,1146,2.8,680,3.1,516,2.5,00:02:04
168,Schaeffler Debrecen Kft.,257,967,20,0.1,685,2.7,705,2.7,2030,7.9,1365,5.3,00:01:35
569,Torockó utca,455,1700,245,0.5,998,2.2,1243,2.7,3574,7.9,2771,6.1,00:01:04
471,Pohl Ferenc utca,496,2557,253,0.5,1096,2.2,1349,2.7,4458,9.0,3601,7.3,00:02:41
272,Júlia-telep,486,2111,899,1.8,422,0.9,1321,2.7,1434,3.0,1912,3.9,00:03:34
651,Ozmán utca,365,1271,463,1.3,527,1.4,990,2.7,2626,7.2,2544,7.0,00:00:52
362,Laktanya utca,892,5650,1475,1.7,941,1.1,2416,2.7,10283,11.5,10836,12.1,00:02:52
057,Bayk András utca,413,1835,214,0.5,904,2.2,1118,2.7,1854,4.5,1150,4.7,00:02:47
599,Vendég utca,591,2598,1042,1.8,557,0.9,1599,2.7,6872,11.6,7358,12.5,00:01:50
141,Doberdó utca,487,2245,1308,2.7,0,0,1308,2.7,0,,1308,2.7,00:00:30
146,Domokos Lajos utca,398,1306,266,0.7,800,2.0,1066,2.7,4158,10.4,3734,9.4,00:02:32
472,Pohl Ferenc utca,444,1830,849,1.9,334,0.8,1183,2.7,4680,10.5,5256,11.8,00:01:01
519,Sesztina utca,531,2564,628,1.2,776,1.5,1404,2.6,5405,10.2,5267,9.9,00:02:52
466,Petőfi Sándor Általános Iskola,274,1420,300,1.1,424,1.5,724,2.6,4590,16.8,4638,16.9,00:01:54
428,Nagymacs,192,970,342,1.8,163,0.8,505,2.6,163,1.8,342,3.4,00:01:14
071,Berek utca,933,4705,1139,1.2,1313,1.4,2452,2.6,12955,13.9,12774,13.7,00:02:15
352,Köztemető. főkapu,541,3650,857,1.6,553,1.0,1410,2.6,5685,18.8,5974,11.0,00:01:50
445,Ótemető utca,263,941,241,0.9,444,1.7,685,2.6,2970,11.3,2775,10.6,00:01:48
552,Szoboszlói út,443,1940,937,2.1,212,0.5,1149,2.6,2976,6.7,3700,8.4,00:01:59
513,Segner tér,1466,8551,307,0.2,3488,2.4,3795,2.6,7113,4.9,3913,9.2,00:02:50
351,Köztemető. főkapu,570,3690,507,0.9,966,1.7,1473,2.6,7306,12.8,6846,21.1,00:02:43
117,Csokonai Vitéz Mihály Gimnázium,38,156,55,1.4,43,1.1,98,2.6,780,20.5,790,20.8,00:02:25
081,TEVA Gyógyszergyár,423,1720,428,1.0,659,1.6,1087,2.6,2979,7.8,2737,7.7,00:02:33
463,Pesti utca,1530,7105,1386,0.9,2539,1.7,3925,2.6,14620,9.6,13472,8.8,00:03:08
100,Burgundia utca,617,3313,898,1.5,672,1.1,1570,2.5,7910,12.8,8133,13.2,00:02:03
323,Klaipeda utca,377,1595,632,1.7,320,0.8,952,2.5,5376,14.3,5689,15.1,00:02:22
347,Kölcsey Központ (Bethlen utca),1076,4400,1666,1.5,1049,1.0,2715,2.5,12662,11.8,13290,12.4,00:01:51
050,Szent Efrém Általános Iskola,1493,7164,1708,1.1,2047,1.4,3755,2.5,17977,12.0,17643,11.8,00:02:20
219,Harmat utca,103,671,74,0.7,183,1.8,257,2.5,364,3.5,252,2.4,00:01:00
653,Hárs utca,365,1271,494,1.4,403,1.1,897,2.5,2603,7.1,2680,7.3,00:01:22
313,Kishatár utca,682,2548,1280,1.9,392,0.6,1672,2.5,969,2.1,1844,3.9,00:01:40
246,Honvéd utca,801,3098,1579,2.0,381,0.5,1960,2.4,9331,11.6,10561,13.2,00:00:53
315,Kishegyesi út,2063,9024,2645,1.3,2395,1.2,5040,2.4,21004,10.2,21258,10.3,00:02:29
137,Diószegi út,393,2078,643,1.6,311,0.8,954,2.4,2803,7.1,3135,8.0,00:02:06
522,Sipos utca,479,2719,943,2.0,193,0.4,1136,2.4,3803,7.9,4563,9.5,00:01:42
553,Szoboszlói út,408,1930,209,0.5,757,1.9,966,2.4,3596,8.8,3040,7.5,00:02:59
527,Somlyai utca,447,1571,418,0.9,633,1.4,1051,2.4,4891,10.9,4693,10.5,00:01:12
357,Lahner utca,259,1005,244,0.9,364,1.4,608,2.3,892,3.4,772,3.0,00:01:44
514,Segner tér,945,3876,1256,1.3,953,1.0,2209,2.3,10679,11.3,11003,11.6,00:00:50
631,Tessedik Sámuel utca,137,660,288,2.1,32,0.2,320,2.3,567,4.1,823,6.0,00:00:55
122,Deák Ferenc utca,152,780,12,0.1,341,2.2,353,2.3,1170,7.7,830,5.5,00:03:09
436,Nyék utca,391,1906,794,2.0,114,0.3,908,2.3,2036,5.2,2742,7.0,00:02:38
332,Komáromi Csipkés György tér,1199,4984,2193,1.8,580,0.5,2773,2.3,10312,8.6,11961,10.0,00:02:04
474,Pósa utca,1111,3930,2130,1.9,433,0.4,2563,2.3,8051,7.4,9754,8.8,00:01:31
