Summary stop stats,,,,,,,,,,,,,,
Selected days,Selected days,01/04/2026 - 30/04/2026,,,,,,,,,,,,
Mean value,Mean value,Average,,,,,,,,,,,,
Columns,Columns,Some are hidden,,,,,,,,,,,,
,,,,,,,,,,,,,,
Stop,Stop,Planned stopping,Planned stopping,IN,IN,OUT,OUT,Frequency of passengers,Frequency of passengers,Occupancy,Occupancy,Occupancy,Occupancy,Delay
Stop,Stop,Planned stopping,Planned stopping,IN,IN,OUT,OUT,Frequency of passengers,Frequency of passengers,Arrival,Arrival,Departure,Departure,Delay
Ident.,Name,APC,All,Σ,Ø,Σ,Ø,Σ,Ø,Σ,Ø,Σ,Ø,Ø
260,István út,882,3999,161,0.182539682539683,2310,2.61904761904762,2471,2.8015873015873,5976,6.77551020408163,3794,4.3015873015873,0.0025
133,Derék utca - Jégcsarnok,1080,4957,469,0.434259259259259,2549,2.36018518518519,3018,2.79444444444444,8763,8.11388888888889,6608,6.11851851851852,0.00248842592592593
070,Bercsényi utca,867,4638,1527,1.76124567474048,892,1.02883506343714,2419,2.79008073817762,12641,14.5801614763552,13275,15.3114186851211,0.00153935185185185
072,Berek utca,867,4638,1466,1.69088811995386,953,1.09919261822376,2419,2.79008073817762,13275,15.3114186851211,13774,15.8869665513264,0.00157407407407407
170,Fancsika,246,711,32,0.130081300813008,651,2.64634146341463,683,2.77642276422764,1856,7.54471544715447,1206,4.90243902439024,0.000625
021,Alsójózsai utca,416,2817,493,1.18509615384615,653,1.56971153846154,1146,2.75480769230769,680,3.07692307692308,516,2.50485436893204,0.00143518518518519
168,Schaeffler Debrecen Kft.,257,967,20,0.0778210116731518,685,2.66536964980545,705,2.7431906614786,2030,7.8988326848249,1365,5.31128404669261,0.00109953703703704
569,Torockó utca,455,1700,245,0.538461538461538,998,2.19340659340659,1243,2.73186813186813,3574,7.85494505494506,2771,6.09010989010989,0.000740740740740741
471,Pohl Ferenc utca,496,2557,253,0.51008064516129,1096,2.20967741935484,1349,2.71975806451613,4458,8.98790322580645,3601,7.26008064516129,0.00186342592592593
272,Júlia-telep,486,2111,899,1.84979423868313,422,0.868312757201646,1321,2.71810699588477,1434,2.95061728395062,1912,3.93415637860082,0.00247685185185185
651,Ozmán utca,365,1271,463,1.26849315068493,527,1.44383561643836,990,2.71232876712329,2626,7.1945205479452,2544,6.96986301369863,0.000601851851851852
362,Laktanya utca,892,5650,1475,1.65358744394619,941,1.05493273542601,2416,2.7085201793722,10283,11.5280269058296,10836,12.1479820627803,0.00199074074074074
057,Bayk András utca,413,1835,214,0.518159806295399,904,2.18886198547216,1118,2.70702179176755,1854,4.48910411622276,1150,4.73251028806584,0.00193287037037037
599,Vendég utca,591,2598,1042,1.76311336717428,557,0.942470389170897,1599,2.70558375634518,6872,11.6277495769882,7358,12.4500846023689,0.00127314814814815
141,Doberdó utca,487,2245,1308,2.68583162217659,0,0,1308,2.68583162217659,0,,1308,2.68583162217659,0.000347222222222222
146,Domokos Lajos utca,398,1306,266,0.668341708542714,800,2.01005025125628,1066,2.678391959799,4158,10.4472361809045,3734,9.38190954773869,0.00175925925925926
472,Pohl Ferenc utca,444,1830,849,1.91216216216216,334,0.752252252252252,1183,2.66441441441441,4680,10.5405405405405,5256,11.8378378378378,0.000706018518518518
519,Sesztina utca,531,2564,628,1.18267419962335,776,1.46139359698682,1404,2.64406779661017,5405,10.1789077212806,5267,9.91902071563089,0.00199074074074074
466,Petőfi Sándor Általános Iskola,274,1420,300,1.09489051094891,424,1.54744525547445,724,2.64233576642336,4590,16.7518248175182,4638,16.9270072992701,0.00131944444444444
428,Nagymacs,192,970,342,1.78125,163,0.848958333333334,505,2.63020833333333,163,1.81111111111111,342,3.35294117647059,0.000856481481481481
071,Berek utca,933,4705,1139,1.22079314040729,1313,1.40728831725616,2452,2.62808145766345,12955,13.8853161843516,12774,13.6913183279743,0.0015625
352,Köztemető. főkapu,541,3650,857,1.58410351201479,553,1.02218114602588,1410,2.60628465804067,5685,18.7623762376238,5974,11.0425138632163,0.00127314814814815
445,Ótemető utca,263,941,241,0.916349809885932,444,1.68821292775665,685,2.60456273764259,2970,11.2927756653992,2775,10.5513307984791,0.00125
552,Szoboszlói út,443,1940,937,2.11512415349887,212,0.478555304740406,1149,2.59367945823928,2976,6.71783295711061,3700,8.35214446952596,0.00137731481481481
513,Segner tér,1466,8551,307,0.209413369713506,3488,2.37926330150068,3795,2.58867667121419,7113,4.85197817189632,3913,9.22877358490566,0.00196759259259259
351,Köztemető. főkapu,570,3690,507,0.889473684210526,966,1.69473684210526,1473,2.58421052631579,7306,12.8175438596491,6846,21.0646153846154,0.00188657407407407
117,Csokonai Vitéz Mihály Gimnázium,38,156,55,1.44736842105263,43,1.13157894736842,98,2.57894736842105,780,20.5263157894737,790,20.7894736842105,0.00167824074074074
081,TEVA Gyógyszergyár,423,1720,428,1.01182033096927,659,1.55791962174941,1087,2.56973995271868,2979,7.83947368421053,2737,7.7316384180791,0.00177083333333333
463,Pesti utca,1530,7105,1386,0.905882352941176,2539,1.65947712418301,3925,2.56535947712418,14620,9.55555555555556,13472,8.80522875816994,0.00217592592592593
100,Burgundia utca,617,3313,898,1.45542949756888,672,1.08914100486224,1570,2.54457050243112,7910,12.8200972447326,8133,13.1815235008104,0.00142361111111111
323,Klaipeda utca,377,1595,632,1.6763925729443,320,0.848806366047746,952,2.52519893899204,5376,14.2599469496021,5689,15.0901856763926,0.00164351851851852
347,Kölcsey Központ (Bethlen utca),1076,4400,1666,1.54832713754647,1049,0.974907063197026,2715,2.52323420074349,12662,11.7676579925651,13290,12.3513011152416,0.00128472222222222
050,Szent Efrém Általános Iskola,1493,7164,1708,1.14400535833892,2047,1.37106496985934,3755,2.51507032819826,17977,12.0408573342264,17643,11.8171466845278,0.00162037037037037
219,Harmat utca,103,671,74,0.718446601941748,183,1.77669902912621,257,2.49514563106796,364,3.53398058252427,252,2.44660194174757,0.000694444444444444
653,Hárs utca,365,1271,494,1.35342465753425,403,1.1041095890411,897,2.45753424657534,2603,7.13150684931507,2680,7.34246575342466,0.000949074074074074
313,Kishatár utca,682,2548,1280,1.87683284457478,392,0.574780058651026,1672,2.45161290322581,969,2.09287257019438,1844,3.94017094017094,0.00115740740740741
246,Honvéd utca,801,3098,1579,1.97128589263421,381,0.47565543071161,1960,2.44694132334582,9331,11.6491885143571,10561,13.1847690387016,0.000613425925925926
315,Kishegyesi út,2063,9024,2645,1.28211342704799,2395,1.16093068347067,5040,2.44304411051866,21004,10.1812893843917,21258,10.3044110518662,0.00172453703703704
137,Diószegi út,393,2078,643,1.63613231552163,311,0.791348600508906,954,2.42748091603053,2803,7.1323155216285,3135,7.97709923664122,0.00145833333333333
522,Sipos utca,479,2719,943,1.96868475991649,193,0.402922755741127,1136,2.37160751565762,3803,7.93945720250522,4563,9.52609603340292,0.00118055555555556
553,Szoboszlói út,408,1930,209,0.512254901960784,757,1.85539215686275,966,2.36764705882353,3596,8.81372549019608,3040,7.45098039215686,0.00207175925925926
527,Somlyai utca,447,1571,418,0.935123042505593,633,1.41610738255034,1051,2.35123042505593,4891,10.9418344519016,4693,10.4988814317673,0.000833333333333333
357,Lahner utca,259,1005,244,0.942084942084942,364,1.40540540540541,608,2.34749034749035,892,3.44401544401544,772,2.98069498069498,0.0012037037037037
514,Segner tér,945,3876,1256,1.32910052910053,953,1.00846560846561,2209,2.33756613756614,10679,11.3005291005291,11003,11.6433862433862,0.000578703703703704
